id,city_name,region_name
927,Сысерть,Свердловская область
928,Сычёвка,Смоленская область
929,Сясьстрой,Ленинградская область
930,Тавда,Свердловская область
931,Таганрог,Ростовская область
932,Тайга,Кемеровская область
933,Тайшет,Иркутская область
934,Талдом,Московская область
935,Талица,Свердловская область
936,Тамбов,Тамбовская область
937,Тара,Омская область
938,Тарко-Сале,Ямало-Ненецкий АО
939,Таруса,Калужская область
940,Татарск,Новосибирская область
941,Таштагол,Кемеровская область
942,Тверь,Тверская область
943,Теберда,Карачаево-Черкесия
944,Тейково,Ивановская область
945,Тельмана,Ленинградская область
946,Темников,Мордовия
947,Темрюк,Краснодарский край
948,Терек,Кабардино-Балкария
949,Тетюши,Татарстан
950,Тимашёвск,Краснодарский край
951,Тихвин,Ленинградская область
952,Тихорецк,Краснодарский край
953,Тобольск,Тюменская область
954,Тогучин,Новосибирская область
955,Тольятти,Самарская область
956,Томари,Сахалинская область
957,Томмот,Якутия
958,Томск,Томская область
959,Топки,Кемеровская область
960,Торжок,Тверская область
961,Торопец,Тверская область
962,Тосно,Ленинградская область
963,Тотьма,Вологодская область
964,Трёхгорный,Челябинская область
965,Троицк,Челябинская область
966,Трубчевск,Брянская область
967,Туапсе,Краснодарский край
968,Туймазы,Башкортостан
969,Тула,Тульская область
970,Тулун,Иркутская область
971,Туран,Тыва
972,Туринск,Свердловская область
973,Тутаев,Ярославская область
974,Тында,Амурская область
975,Тырныауз,Кабардино-Балкария
976,Тюкалинск,Омская область
977,Тюмень,Тюменская область
978,Уварово,Тамбовская область
979,Углегорск,Сахалинская область
980,Углич,Ярославская область
981,Удачный,Якутия
982,Удомля,Тверская область
983,Ужур,Красноярский край
984,Узловая,Тульская область
985,Улан-Удэ,Бурятия
986,Ульяновск,Ульяновская область
987,Унеча,Брянская область
988,Урай,Ханты-Мансийский АО
989,Урень,Нижегородская область
990,Уржум,Кировская область
991,Урус-Мартан,Чечня
992,Урюпинск,Волгоградская область
993,Усинск,Коми
994,Усмань,Липецкая область
995,Усолье-Сибирское,Иркутская область
996,Усолье,Пермский край
997,Уссурийск,Приморский край
998,Усть-Джегута,Карачаево-Черкесия
999,Усть-Илимск,Иркутская область
1000,Усть-Катав,Челябинская область
1001,Усть-Кут,Иркутская область
1002,Усть-Лабинск,Краснодарский край
1003,Устюжна,Вологодская область
1004,Уфа,Башкортостан
1005,Ухта,Коми
1006,Учалы,Башкортостан
1007,Уяр,Красноярский край
1008,Фатеж,Курская область
1009,Фокино,Брянская область
1010,Фокино,Приморский край
1011,Фролово,Волгоградская область
1012,Фрязино,Московская область
1013,Фурманов,Ивановская область
1014,Хабаровск,Хабаровский край
1015,Хадыженск,Краснодарский край
1016,Ханты-Мансийск,Ханты-Мансийский АО
1017,Харабали,Астраханская область
1018,Харовск,Вологодская область
1019,Хасавюрт,Дагестан
1020,Хвалынск,Саратовская область
1021,Хилок,Забайкальский край
1022,Химки,Московская область
1023,Холм,Новгородская область
1024,Холмск,Сахалинская область
1025,Хотьково,Московская область
1026,Цивильск,Чувашия
1027,Цимлянск,Ростовская область
1028,Циолковский,Амурская область
1029,Чадан,Тыва
1030,Чайковский,Пермский край
1031,Чапаевск,Самарская область
1032,Чаплыгин,Липецкая область
1033,Чебаркуль,Челябинская область
1034,Чебоксары,Чувашия
1035,Чегем,Кабардино-Балкария
1036,Чекалин,Тульская область
1037,Челябинск,Челябинская область
1038,Чердынь,Пермский край
1039,Черемхово,Иркутская область
1040,Черепаново,Новосибирская область
1041,Череповец,Вологодская область
1042,Черкесск,Карачаево-Черкесия
1043,Чёрмоз,Пермский край
1044,Черноголовка,Московская область
1045,Черногорск,Хакасия
1046,Чернушка,Пермский край
1047,Черняховск,Калининградская область
1048,Чехов,Московская область
1049,Чистополь,Татарстан
1050,Чита,Забайкальский край
1051,Чкаловск,Нижегородская область
1052,Чудово,Новгородская область
1053,Чулым,Новосибирская область
1054,Чусовой,Пермский край
1055,Чухлома,Костромская область
1056,Шагонар,Тыва
1057,Шадринск,Курганская область
1058,Шали,Чечня
1059,Шарыпово,Красноярский край
1060,Шарья,Костромская область
1061,Шатура,Московская область
1062,Шахты,Ростовская область
1063,Шахунья,Нижегородская область
1064,Шацк,Рязанская область
1065,Шебекино,Белгородская область
1066,Шелехов,Иркутская область
1067,Шелковская,Чечня
1068,Шенкурск,Архангельская область
1069,Шилка,Забайкальский край
1070,Шимановск,Амурская область
1071,Шиханы,Саратовская область
1072,Шлиссельбург,Ленинградская область
1073,Шумерля,Чувашия
1074,Шумиха,Курганская область
1075,Шуя,Ивановская область
1076,Щёкино,Тульская область
1077,Щёлково,Московская область
1078,Щигры,Курская область
1079,Щучье,Курганская область
1080,Электрогорск,Московская область
1081,Электросталь,Московская область
1082,Электроугли,Московская область
1083,Элиста,Калмыкия
1084,Энгельс,Саратовская область
1085,Эртиль,Воронежская область
1086,Югорск,Ханты-Мансийский АО
1087,Южа,Ивановская область
1088,Южно-Сахалинск,Сахалинская область
1089,Южно-Сухокумск,Дагестан
1090,Южноуральск,Челябинская область
1091,Юрга,Кемеровская область
1092,Юрьев-Польский,Владимирская область
1093,Юрьевец,Ивановская область
1094,Юрюзань,Челябинская область
1095,Юхнов,Калужская область
1096,Ядрин,Чувашия
1097,Якутск,Якутия
1098,Ялуторовск,Тюменская область
1099,Янаул,Башкортостан
1100,Яранск,Кировская область
1101,Яровое,Алтайский край
1102,Ярославль,Ярославская область
1103,Ярцево,Смоленская область
1104,Ясногорск,Тульская область
1105,Ясный,Оренбургская область
1106,Яхрома,Московская область
1107,Зеленогорск,Санкт-Петербург
1108,Зеленоград,Москва
1109,Колпино,Санкт-Петербург
1110,Красное Село,Санкт-Петербург
1111,Кронштадт,Санкт-Петербург
1112,Ломоносов,Санкт-Петербург
1113,Московский,Москва
1114,Павловск,Санкт-Петербург
1115,Петергоф,Санкт-Петербург
1116,Пушкин,Санкт-Петербург
1117,Сестрорецк,Санкт-Петербург
1118,Троицк,Москва
1119,Щербинка,Москва
