id,city_name,region_name
309,Зверево,Ростовская область
310,Зеленогорск,Красноярский край
311,Зеленоградск,Калининградская область
312,Зеленодольск,Татарстан
313,Зеленокумск,Ставропольский край
314,Зерноград,Ростовская область
315,Зея,Амурская область
316,Зима,Иркутская область
317,Златоуст,Челябинская область
318,Злынка,Брянская область
319,Змеиногорск,Алтайский край
320,Знаменск,Астраханская область
321,Зубцов,Тверская область
322,Зуевка,Кировская область
323,Ивангород,Ленинградская область
324,Иваново,Ивановская область
325,Ивантеевка,Московская область
326,Ивдель,Свердловская область
327,Игарка,Красноярский край
328,Ижевск,Удмуртия
329,Избербаш,Дагестан
330,Изобильный,Ставропольский край
331,Иланский,Красноярский край
332,Инза,Ульяновская область
333,Иннополис,Татарстан
334,Инсар,Мордовия
335,Инта,Коми
336,Ипатово,Ставропольский край
337,Ирбит,Свердловская область
338,Иркутск,Иркутская область
339,Исилькуль,Омская область
340,Искитим,Новосибирская область
341,Истра,Московская область
342,Ишим,Тюменская область
343,Ишимбай,Башкортостан
344,Йошкар-Ола,Марий Эл
345,Кадников,Вологодская область
346,Казань,Татарстан
347,Калач,Воронежская область
348,Калач-на-Дону,Волгоградская область
349,Калачинск,Омская область
350,Калининград,Калининградская область
351,Калининск,Саратовская область
352,Калтан,Кемеровская область
353,Калуга,Калужская область
354,Калязин,Тверская область
355,Камбарка,Удмуртия
356,Каменка,Пензенская область
357,Каменногорск,Ленинградская область
358,Каменск-Уральский,Свердловская область
359,Каменск-Шахтинский,Ростовская область
360,Камень-на-Оби,Алтайский край
361,Камешково,Владимирская область
362,Камызяк,Астраханская область
363,Камышин,Волгоградская область
364,Камышлов,Свердловская область
365,Канаш,Чувашия
366,Кандалакша,Мурманская область
367,Канск,Красноярский край
368,Карабаново,Владимирская область
369,Карабаш,Челябинская область
370,Карабулак,Ингушетия
371,Карасук,Новосибирская область
372,Карачаевск,Карачаево-Черкесия
373,Карачев,Брянская область
374,Каргат,Новосибирская область
375,Каргополь,Архангельская область
376,Карпинск,Свердловская область
377,Карталы,Челябинская область
378,Касимов,Рязанская область
379,Касли,Челябинская область
380,Каспийск,Дагестан
381,Катав-Ивановск,Челябинская область
382,Катайск,Курганская область
383,Качканар,Свердловская область
384,Кашин,Тверская область
385,Кашира,Московская область
386,Кедровый,Томская область
387,Кемерово,Кемеровская область
388,Кемь,Карелия
389,Кизел,Пермский край
390,Кизилюрт,Дагестан
391,Кизляр,Дагестан
392,Кимовск,Тульская область
393,Кимры,Тверская область
394,Кингисепп,Ленинградская область
395,Кинель,Самарская область
396,Кинешма,Ивановская область
397,Киреевск,Тульская область
398,Киренск,Иркутская область
399,Киржач,Владимирская область
400,Кириллов,Вологодская область
401,Кириши,Ленинградская область
402,Киров,Калужская область
403,Киров,Кировская область
404,Кировград,Свердловская область
